fixture_id,event_id,minute,extra_minute,team_id,player_id,event_type,event_detail,is_home,score_home_after,score_away_after
1391161,1391161001,9,0,529,909,Goal,Normal Goal,1,1,0
1391161,1391161002,18,0,529,931,Goal,Normal Goal,1,2,0
1391161,1391161003,40,0,541,2207,Card,Yellow Card,0,2,0
1391161,1391161004,52,0,529,1323,Card,Yellow Card,1,2,0
1391161,1391161005,52,0,541,341640,Card,Yellow Card,0,2,0
1391161,1391161006,55,0,541,129718,Card,Yellow Card,0,2,0
1391161,1391161007,64,0,529,1323,subst,Substitution 1,1,2,0
1391161,1391161008,64,0,529,909,subst,Substitution 2,1,2,0
1391161,1391161009,70,0,541,2207,subst,Substitution 1,0,2,0
1391161,1391161010,77,0,529,931,subst,Substitution 3,1,2,0
1391161,1391161011,77,0,529,296667,subst,Substitution 4,1,2,0
1391161,1391161012,79,0,541,744,subst,Substitution 2,0,2,0
1391161,1391161013,79,0,541,336711,subst,Substitution 3,0,2,0
1391161,1391161014,81,0,529,1496,Card,Yellow Card,1,2,0
1391161,1391161015,81,0,541,283,Card,Yellow Card,0,2,0
1391161,1391161016,88,0,529,340626,subst,Substitution 5,1,2,0
