fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1388902,2026-05-09_vfl_bochum_hannover_96,2. Bundesliga,79,2025,2026-05-09,176,166,VfL Bochum,Hannover 96,2026-05-09T12:00:00+01:00,FT,751,Vonovia Ruhrstadion,"Robert Kampka, Germany"
1388903,2026-05-09_eintracht_braunschweig_dynamo_dresden,2. Bundesliga,79,2025,2026-05-09,744,183,Eintracht Braunschweig,Dynamo Dresden,2026-05-09T12:00:00+01:00,FT,708,Eintracht-Stadion,"Christian Dingert, Germany"
1388906,2026-05-09_holstein_kiel_1_fc_magdeburg,2. Bundesliga,79,2025,2026-05-09,191,179,Holstein Kiel,1. FC Magdeburg,2026-05-09T12:00:00+01:00,FT,725,Holstein-Stadion,"Martin Petersen, Germany"
1388908,2026-05-09_1_fc_nurnberg_fc_schalke_04,2. Bundesliga,79,2025,2026-05-09,171,174,1. FC Nürnberg,FC Schalke 04,2026-05-09T19:30:00+01:00,FT,713,Max-Morlock-Stadion,"Felix Prigan, Germany"
1388904,2026-05-10_fortuna_dusseldorf_sv_elversberg,2. Bundesliga,79,2025,2026-05-10,158,1660,Fortuna Düsseldorf,SV Elversberg,2026-05-10T12:30:00+01:00,FT,714,Merkur Spiel-Arena,"Wolfgang Haslberger, Germany"
1388905,2026-05-10_hertha_bsc_spvgg_greuther_furth,2. Bundesliga,79,2025,2026-05-10,159,178,Hertha BSC,SpVgg Greuther Fürth,2026-05-10T12:30:00+01:00,FT,694,Olympiastadion,"Michael Bacher, Germany"
1388910,2026-05-10_preuen_munster_sv_darmstadt_98,2. Bundesliga,79,2025,2026-05-10,1313,181,Preußen Münster,SV Darmstadt 98,2026-05-10T12:30:00+01:00,FT,0,LVM-Preußenstadion,"Lukas Benen, Germany"
