fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1436192,2026-05-09_al_najma_al_hazm,Pro League,307,2025,2026-05-09,2992,2945,Al Najma,Al-Hazm,2026-05-09T17:15:00+01:00,FT,4630,King Abdullah Sports City Stadium,"Khalid Al-Ahmari, Saudi Arabia"
1436196,2026-05-09_al_khaleej_saihat_al_ettifaq,Pro League,307,2025,2026-05-09,2928,2934,Al Khaleej Saihat,Al-Ettifaq,2026-05-09T16:55:00+01:00,FT,1370,Prince Mohamed bin Fahd Stadium,"Mohammed Sami Taher Al Ismail, Saudi Arabia"
1436198,2026-05-09_al_fayha_al_qadisiyah_fc,Pro League,307,2025,2026-05-09,2944,2933,Al-Fayha,Al-Qadisiyah FC,2026-05-09T19:00:00+01:00,FT,1367,King Abdullah Sports City Stadium,"Georgi Kabakov, Bulgaria"
1436193,2026-05-10_al_ittihad_fc_damac,Pro League,307,2025,2026-05-10,2938,2956,Al-Ittihad FC,Damac,2026-05-10T19:00:00+01:00,NS,1364,King Abdullah Sports City,
1436195,2026-05-10_al_riyadh_al_fateh,Pro League,307,2025,2026-05-10,10511,2931,Al Riyadh,Al-Fateh,2026-05-10T17:05:00+01:00,2H,1374,Prince Faisal bin Fahd Stadium,"Sultan Al-Harbi, Saudi Arabia"
1436191,2026-05-11_neom_al_shabab,Pro League,307,2025,2026-05-11,10513,2940,NEOM,Al Shabab,2026-05-11T17:50:00+01:00,NS,0,King Khalid Sports City,
1436199,2026-05-11_al_taawon_al_ahli_jeddah,Pro League,307,2025,2026-05-11,2936,2929,Al Taawon,Al-Ahli Jeddah,2026-05-11T19:00:00+01:00,NS,1377,Al Taawon Arena,
