fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1538474,2026-05-09_fc_winterthur_lausanne,Super League,207,2025,2026-05-09,2180,1014,FC Winterthur,Lausanne,2026-05-09T17:00:00+01:00,FT,1547,Stadion Schützenwiese,"Anojen Kanagasingam, Switzerland"
1538475,2026-05-09_fc_zurich_grasshoppers,Super League,207,2025,2026-05-09,783,1013,FC Zurich,Grasshoppers,2026-05-09T17:00:00+01:00,FT,0,Letzigrund,"Lukas Fahndrich, Switzerland"
1538476,2026-05-09_fc_luzern_servette_fc,Super League,207,2025,2026-05-09,644,2184,FC Luzern,Servette FC,2026-05-09T19:30:00+01:00,FT,1537,Swissporarena,"Huseyin Sanli, Switzerland"
1538489,2026-05-10_fc_lugano_fc_st_gallen,Super League,207,2025,2026-05-10,606,1011,FC Lugano,FC ST. Gallen,2026-05-10T13:00:00+01:00,FT,1536,Stadio di Cornaredo,"Alessandro Dudic, Switzerland"
1538490,2026-05-10_fc_sion_fc_thun,Super League,207,2025,2026-05-10,630,1012,FC Sion,FC Thun,2026-05-10T15:30:00+01:00,FT,1542,Stade de Tourbillon,"Luca Piccolo, Switzerland"
1538491,2026-05-10_bsc_young_boys_fc_basel_1893,Super League,207,2025,2026-05-10,565,551,BSC Young Boys,FC Basel 1893,2026-05-10T15:30:00+01:00,FT,10500,Stadion Wankdorf,"Sandro Schärer, Switzerland"
